id,2008,2009,2010,2011,2012,2013
MK04,14487.21683,3613.37333,3117.170779,14868.71643,14749.04527,10205.1549
TS05,2014.401013,9924.408216,154.4986071,4416.138856,8589.60028,759.9324391
MK03,4079.154455,16582.25541,3377.846283,7167.111603,10284.48004,5556.694056
MK29,13798.98219,10222.43894,14935.56198,6066.466767,9957.120604,9459.331641
MK15,16823.42243,4667.990667,14900.90889,9125.736618,13885.41512,19570.4245
MK02,2436.276018,19398.35665,18885.26967,6986.911192,1466.134249,1203.916336
TS23,5845.194475,9251.656697,1907.88602,638.4472333,3154.345874,8613.475995
TS30,15779.29588,14510.62051,1302.627971,4031.733517,14104.13283,14097.84287
MK16,10484.06253,18478.85348,7907.745898,11925.65764,4040.560921,15782.71156
MK10,17066.56821,7743.586063,16997.07113,19867.93998,2477.20594,2205.007675
MK11,4256.856558,13886.89549,10090.79102,18556.02752,5097.328302,16801.19175
TS10,16340.6175,12452.59964,19868.56921,19763.04628,3744.818519,9728.353457
MK20,775.5729879,14255.32836,3131.610093,7820.439748,13736.2555,7269.737397
MK19,10398.38265,12632.81533,2454.351843,6543.050047,5856.980355,3952.46377
MK05,4597.819966,19947.96714,11986.41875,17584.80791,7717.327633,8583.892123
MK28,3994.420411,8059.495403,9522.204349,1586.905903,7246.98164,30.88814383
TS03,17824.69086,5734.779583,17176.1038,18668.76988,7888.000389,5753.752527
MK18,2984.739909,5013.861927,9667.645687,11994.5669,12843.0455,13141.63628
MK08,2846.568185,4908.104228,11318.23774,5851.562727,16485.46519,1003.776644
MK34,16490.11889,7566.019193,9696.218036,16139.4359,9661.942589,14946.55684
TS04,8333.282205,19803.26864,9990.767462,2004.959728,12580.8413,3371.097849
TS01,9803.513257,12824.64509,19892.99565,2721.581067,16457.71772,14409.29553
MK32,13315.39592,12016.32813,480.0115084,15071.24855,5371.735149,9407.906701
TS06,7005.155233,17225.74567,19312.61198,15361.34715,15952.09084,2070.771005
TS26,10069.94365,7951.042073,7342.375091,5063.202768,12606.80119,11058.22457
TS29,8726.898481,15757.27074,4943.828707,19233.47988,9320.18554,10754.00287
MK33,10335.70282,15074.39992,14174.12738,19059.61237,11382.17834,17613.01408
TS02,14811.00495,12595.6823,4263.275538,6687.602095,2065.366568,7101.037581
TS18,1735.98672,2285.864879,17653.75125,7069.708129,9824.403849,1028.259568
MK13,17381.4514,18629.49618,7332.258057,12020.56119,13317.56001,1387.810527
MK01,5847.876464,12941.48795,16366.76591,12620.44459,1586.108852,6997.718625
MK06,8957.069708,17722.1972,18306.85729,9449.071577,4583.688015,3624.759346
MK14,17743.12612,13531.23255,10421.16615,14304.2261,14068.71576,4358.96641
MK27,10732.96074,15147.62208,19738.39865,13742.37724,11561.59313,4958.751711
MK23,11766.0148,16516.07238,9792.59683,13704.87311,9490.58191,10045.48849
TS07,13282.77457,8790.457925,3071.0143,5434.507205,2036.741814,13548.39666
MK07,19976.5244,19900.78518,7320.668097,3688.03301,1640.657537,12651.3606
TS08,5077.425151,13011.35486,18107.20896,612.0987809,10756.36,12343.03869
TS19,17934.50954,4509.322912,3550.659733,1375.651374,7151.74885,3672.791167
TS21,16239.82995,3511.225695,18089.16954,2612.909205,10063.0438,16247.78682
TS14,4583.292961,15571.80082,11345.29785,3614.577627,17627.00307,14290.6945
TS22,15376.17632,6751.313855,18862.68729,6065.262982,8186.788809,16103.55122
TS15,19688.81644,2874.953862,3383.707205,5482.373903,19446.68454,14192.12874
MK22,17895.91252,10929.07567,1215.507635,6090.266611,4566.634856,11610.53969
TS11,13268.11667,1493.580585,5594.453104,18595.733,19881.06939,5173.032519
MK09,14557.91363,17750.51856,1852.96199,13700.32074,18472.62673,9300.689423
MK31,18785.90385,1974.166353,4825.583246,10737.00771,12494.38744,2128.619519
TS20,10444.71218,17457.48131,4382.624354,19128.07111,11148.87144,3850.491777
TS09,14454.33638,14391.91031,15582.593,1791.744196,11517.19776,15501.81859
TS17,1410.029169,13210.26452,19920.15013,15623.45682,5444.826343,14642.63689
MK34,1062.505243,778.0636135,17049.33807,11159.36766,18766.56675,6705.472327
MK30,10753.85641,14501.34045,12525.06351,1163.441849,7059.222893,5249.749088
TS12,19232.41801,6946.598789,13509.55559,11913.76196,10434.44145,4269.0704
TS24,10637.0143,12652.00101,6291.363888,15194.42265,11243.18923,4540.242954
TS27,10654.93428,13665.78289,15399.28507,6378.025056,17321.5473,19578.83087
MK26,4133.350713,7347.93265,6549.897127,7908.00004,16930.23434,17512.28454
MK17,15923.5381,2926.766849,9951.142813,11352.93372,3099.40514,9442.121419
MK24,8178.235884,10760.7944,1193.641793,19129.52716,10843.89455,12775.7963
MK12,16469.58808,17366.74405,3593.785638,14065.12751,15540.82247,19639.14784
TS16,6949.687339,1469.165432,8160.592468,12710.92244,13486.47404,6981.702571
TS28,17491.86005,96.07411272,6179.680735,3945.248104,8816.455811,15371.05576
TS13,7219.2286,4855.551621,17919.41057,17083.88412,18066.94855,18985.36273
MK21,4750.468719,4265.214193,11751.73605,16226.51355,17418.05407,7328.172409
MK25,3313.519901,13345.00546,5588.889689,19886.66899,3648.920874,3792.726465
TS25,8840.248201,14055.80858,11518.34108,17782.69601,13336.34335,12608.17881
